Name,Translation
अर्णबजित,arnbitit
रामन,raman
सालू,saalu
रविंदर,ravinder
शैलेश,shailesh
मुर्शिदा,murshida
तरंनुम,tarannum
सत्वीदा,satvida
जमना,jamna
आलिशा,alisha
त्रिलोक,trilok
चंद,chand
सायदा,sayada
उदय,udaya
अमुदा,amuda
अवफेश,avfesh
दीपक,deepak
आयेशा,ayesh
हरप्रीत,harpreet
बृजपाल,brijpal
माशली,mashali
जेटा,jeta
अक्काश,akkash
बंती,banti
योगेंद्र,yogendr
सोसन,sosan
खुमा,khuma
चंदा,chnada
किरंति,kiranti
अनामिका,anamika
पातन,patan
साहिन,sahin
टूल,tul
इमराना,imrana
कुनोद,kunod
प्र्यानिका,pryanka
अमर,amar
गुलाफशा,gulafsha
मंगल,mangal
चंद्रकांता,chandderkanta
अख्लेश,akhlesh
तानिया,taniya
साइशा,saisha
रुकमणि,rukmani
पुन्नेट,punnet
शिवानी,shivani
अय्यर,ayyar
रूकमणि,rukmani
बलराज,balraj
शाहनाम,shahnam
मंजूला,manjula
साहुन,sahun
रामहेतु,ramhetu
राजिबुल,rajibul
सुस्मिता,susmita
काशिश,kashish
राजबाला,rajbala
बल,bal
बिक्रम,bikram
उर्मिल,urmil
दिशाद,dishad
मंजिंदर,manjinder
सुप्रिया,supriya
अल्केश,alkesh
काजुल,kajul
मनमथ,manamth
जिस्म,jism
आरिफून,arifoon
मनोजकुमार,manojkumar
सौरब,saurab
मेवा,meva
अभिजित,abhijit
तार्ननुम,tarnum
तनय,tanaya
परम,param
रितेश,ritesh
मंजू,manju
बैजनाथ,baijnath
मंदू,mundu
निर्मला,nirmal
होरम,harram
सान,saan
हुकम,hukam
अनन्या,ananya
बिगन,bishan
ओंकारा,onkara
इश्तकार,ishtakar
नूरनबी,noornabi
सबीला,sabeela
रितुंजय,ritunjay
सुब्रती,subrati
प्रभातीलाल,prabhtialal
श्सी,shsi
त्यारा,tyara
मनु,manu
परमानंद,parmanand
पूल,pul
मयंक,mayank
जानकी,janki
रामफरे,ramfare
मिथुन,mithun
हेरा,hera
सुबे,sube
जीतेंदर,jitender
मोहम्मद,mohmad
रियाजुद्धीन,riyajuddin
देवेश्वारि,deveshwari
सलोनी,sooni
रामभा,rambha
सोबन,soban
सेठी,seti
लावली,lavali
बेंजीर,benjeer
थारु,tharu
हुमा,huma
धुर्व,dhuvv
सन्हा,sanha
शर्जप्रित,sharjrit
उज्वल,ujwal
रिजुल,rijul
मिस,mis
डाक्च,dakcch
वामन,waman
दीपेन्द्र,deepender
डीपी,dipee
